"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 16 16:34:21 GMT 2022","Sat Jul 16 16:34:21 GMT 2022","0","tests","test_labels","","","","test_no_labels",""
"passed","Sat Jul 16 16:34:21 GMT 2022","Sat Jul 16 16:34:21 GMT 2022","1","tests","test_attachments","","","","test_attachments",""
"broken","Sat Jul 16 16:34:23 GMT 2022","Sat Jul 16 16:34:23 GMT 2022","687","tests","test_steps","","","","test_dynamic_steps",""
"broken","Sat Jul 16 16:34:23 GMT 2022","Sat Jul 16 16:34:24 GMT 2022","679","tests","test_steps","","","","test_decorator_steps",""
"passed","Sat Jul 16 16:34:21 GMT 2022","Sat Jul 16 16:34:21 GMT 2022","0","tests","test_labels","","","","test_decorator_labels",""
"passed","Sat Jul 16 16:34:21 GMT 2022","Sat Jul 16 16:34:21 GMT 2022","0","tests","test_labels","","","","test_dynamic_labels",""
"broken","Sat Jul 16 16:34:21 GMT 2022","Sat Jul 16 16:34:22 GMT 2022","1189","tests","test_selene","","","","test_github",""
